,isin,company_name,industry_rating,market_cap
1046,INE750C01026,MARKSANS PHARMA Ltd.,Pharmaceuticals & Biotechnology,Small Cap
1047,INE776I01010,MEP Infrastructure Developers Ltd.,Transport Infrastructure,Small Cap
1048,INE317I01021,METRO BRANDS LIMITED,Consumer Durables,Mid Cap
1049,US5529531015,MGM Resorts International,Casinos & Gaming,Unknown
1050,TW0003706008,MITAC Holdings Corporation,"Technology Hardware, Storage & Peripherals",Unknown
1051,JP3900000005,MITSUBISHI HEAVY ORD,Industrial Machinery & Supplies & Components,Unknown
1052,INE227C01017,MM Forgings Ltd.,Auto Components,Small Cap
1053,INE123F01029,MMTC Limited,Commercial Services & Supplies,Small Cap
1054,INE490G01020,MOIL Ltd.,Minerals & Mining,Small Cap
1055,INE943D01017,MPS Limited,Other Consumer Services,Small Cap
1056,INE883A01011,MRF Limited,Auto Components,Mid Cap
1057,US55354G1004,MSCI Inc,Financial Exchanges & Data,Unknown
1058,INE255X01014,MSTC Ltd.,Commercial Services & Supplies,Small Cap
1059,INE864I01014,MTAR Technologies Limited,Aerospace & Defense,Small Cap
1060,HK0066009694,MTR Corp Limited,Rail Transportation,Unknown
1061,INE613C01026,Magellanic Cloud Ltd,IT - Software,Small Cap
1062,INE002S01010,Mahanagar Gas Limited,Gas,Small Cap
1063,INE153A01019,Mahanagar Telephone Nigam Limited,Telecom - Services,Small Cap
1064,INE288A01013,Maharashtra Scooters Limited,Finance,Small Cap
1065,INE271B01025,Maharashtra Seamless Limited,Industrial Products,Small Cap
1066,INE774D01024,Mahindra & Mahindra Financial Services Limited,Finance,Mid Cap
1067,INE101A01026,Mahindra & Mahindra Limited,Automobiles,Large Cap
1068,INE998I01010,Mahindra Holidays & Resorts Ind Ltd.,Leisure Services,Small Cap
1069,INE813A01018,Mahindra Lifespace Developers Limited,Realty,Small Cap
1070,INE766P01016,Mahindra Logistics Limited,Transport Services,Small Cap
1071,INE766P20016,Mahindra Logistics Limited,Transport Services,Unknown
1072,INE949H01023,Man Infraconstruction Ltd.,Construction,Small Cap
1073,INE522D01027,Manappuram Finance Limited,Finance,Small Cap
1074,INE558B01017,Mangalore Chemicals & Fertilizers Ltd,Fertilizers & Agrochemicals,Small Cap
1075,INE103A01014,Mangalore Refinery and Petrochemicals Limited,Petroleum Products,Small Cap
1076,US5627501092,Manhattan Associates Inc,Application Software,Unknown
1077,INE634S01028,Mankind Pharma Limited,Pharmaceuticals & Biotechnology,Large Cap
1078,INE00VM01036,Manorama Industries Limited,Food Products,Small Cap
1079,US56585A1025,Marathon Petroleum Corp,Oil & Gas Refining & Marketing,Unknown
1080,INE196A01026,Marico Limited,Agricultural Food & other Products,Mid Cap
1081,US57060D1081,MarketAxess Holdings Inc,Capital Markets,Unknown
1082,US5719032022,Marriott International,"Hotels, Resorts & Cruise Lines",Unknown
1083,US5717481023,Marsh & McLennan Cos Inc,Insurance Brokers,Unknown
1084,US5732841060,Martin Marietta Materials Inc,Construction Materials,Unknown
1085,INE585B01010,Maruti Suzuki India Limited,Automobiles,Large Cap
1086,US5738741041,Marvell Technology Inc,Semiconductors,Unknown
1087,INE348L01012,Mas Financial Services Limited,Finance,Small Cap
1088,US5745991068,Masco Corp.,Building Products,Unknown
1089,INE759A01021,Mastek Limited,IT - Software,Small Cap
1090,US57636Q1040,Mastercard Incorporated Class A,Transaction & Payment Processing Services,Unknown
1091,US57667L1070,Match Group Inc,Interactive Media & Services,Unknown
1092,INE866R01028,Matrimony.com Ltd.,Retailing,Small Cap
1093,INE03EI01018,Max Estates Ltd.,Realty,Small Cap
1094,INE180A01020,Max Financial Services Limited,Insurance,Mid Cap
1095,INE027H01010,Max Healthcare Institute Limited,Healthcare Services,Large Cap
1096,INE040D01038,Mayur Uniquoters Ltd.,Consumer Durables,Small Cap
1097,INE249Z01020,Mazagon Dock Shipbuilders Limited,Industrial Manufacturing,Large Cap
1098,US5797802064,McCormick & Co Inc,Packaged Foods & Meats,Unknown
1099,US58155Q1031,McKesson Corp.,Health Care Distributors,Unknown
1100,US5801351017,Mcdonald'S Corpopration,Restaurants,Unknown
1101,INE804L01022,MedPlus Health Services Limited,Retailing,Small Cap
1102,INE456Z01021,Medi Assist Healthcare Services Limited,Insurance,Small Cap
1103,TW0002454006,MediaTek Incorporation,Semiconductors,Unknown
1104,IE00BTN1Y115,Medtronic Plc,Health Care Equipment,Unknown
1105,INE0CT101020,Meghmani Organics Limited,Fertilizers & Agrochemicals,Small Cap
1106,KYG596691041,Meituan,Restaurants,Unknown
1107,US58733R1023,MercadoLibre Inc,Broadline Retail,Unknown
1108,US58933Y1055,Merck & Co. Inc,Pharmaceuticals,Unknown
1109,US30303M1027,Meta Platforms Registered Shares A,Interactive Media & Services,Unknown
1110,US59156R1086,Metlife Inc,Life & Health Insurance,Unknown
1111,INE112L01020,Metropolis Healthcare Limited,Healthcare Services,Small Cap
1112,US5926881054,Mettler-Toledo International Inc,Life Sciences Tools & Services,Unknown
1113,TW0002377009,Micro-Star International Co Ltd,"Technology Hardware, Storage & Peripherals",Unknown
1114,US5950171042,Microchip Technology Inc.,Semiconductors,Unknown
1115,US5951121038,Micron Technology Inc,Semiconductors,Unknown
1116,US5949181045,Microsoft Corp,Systems Software,Unknown
1117,US5949724083,Microstrategy Inc. - Class A,Application Software,Unknown
1118,US59522J1034,Mid-America Apartment Communities Inc,Multi-Family Residential REITs,Unknown
1119,CNE100006M58,Midea Group Co Ltd.,Home appliances,Unknown
1120,INE842C01021,Minda Corporation Limited,Auto Components,Small Cap
1121,INE099Z01011,Mishra Dhatu Nigam Ltd.,Aerospace & Defense,Small Cap
1122,JP3898400001,Mitsubishi Corp,Trading Companies & Distributors,Unknown
1123,JP3902900004,Mitsubishi UFJ Financial Group Inc,Diversified Banks,Unknown
1124,JP3893200000,Mitsui Fudosan Co,Diversified Real Estate Activities,Unknown
1125,US60770K1079,Moderna Inc,Biotechnology,Unknown
1126,US6081901042,Mohawk Industries Inc,Home Furnishings,Unknown
1127,INE893J01029,Mold-Tek Packaging Ltd,Industrial Products,Small Cap
1128,US60855R1005,Molina Healthcare,Managed Health Care,Unknown
1129,US60871R2094,Molson Coors Beverage Co,Brewers,Unknown
1130,US6092071058,Mondelez International Inc,Packaged Foods & Meats,Unknown
1131,US60937P1066,MongoDB Inc,Internet Services & Infrastructure,Unknown
1132,TW0002376001,MongoDB Inc,"Technology Hardware, Storage & Peripherals",Unknown
1133,US6098391054,Monolithic Power Systems Inc,Technology,Unknown
1134,US61174X1090,Monster Beverage Corporation,Soft Drinks,Unknown
1135,US6153691059,Moody's Corp,Financial Exchanges & Data,Unknown
1136,INE083A01026,Morepen Laboratories Limited,Pharmaceuticals & Biotechnology,Small Cap
1137,US6174464486,Morgan Stanley,Investment Banking & Brokerage,Unknown
1138,INE0FS801015,Motherson Sumi Wiring India Limited,Auto Components,Small Cap
1139,INE338I01027,Motilal Oswal Financial Services Limited,Capital Markets,Mid Cap
1140,US6200763075,Motorola Solutions Inc,Communications Equipment,Unknown
1141,INE356A01018,Mphasis Limited,IT - Software,Mid Cap
1142,TW0006223001,Mpi Corporation,Semiconductor Materials & Equipment,Unknown
1143,INE495P01012,Mrs. Bectors Food Specialities Limited,Food Products,Small Cap
1144,INE304A01026,Mukand Limited,Ferrous Metals,Small Cap
1145,INE745G01035,Multi Commodity Exchange of India Limited,Capital Markets,Mid Cap
1146,INE414G01012,Muthoot Finance Limited,Finance,Mid Cap
1147,INE046W01019,Muthoot Microfin Ltd,Finance,Small Cap
1148,INE295D01020,NACL Industries Limited,Fertilizers & Agrochemicals,Small Cap
1149,INE095N01031,NBCC (India) Limited,Construction,Small Cap
1150,INE868B01028,NCC Limited,Construction,Small Cap
1151,INE045B01015,NELCO Limited,IT - Hardware,Small Cap
1152,US64110D1046,NETAPP INC,"Technology Hardware, Storage & Peripherals",Unknown
1153,INE887E01022,NGL Fine Chem Limited,Pharmaceuticals & Biotechnology,Small Cap
1154,INE848E01016,NHPC Limited,Power,Mid Cap
1155,INE342G01023,NIIT Learning Systems Ltd,Other Consumer Services,Small Cap
1156,INE161A01038,NIIT Limited,Other Consumer Services,Small Cap
1157,INE589A01014,NLC India Limited,Power,Mid Cap
1158,INE584A01023,NMDC Limited,Minerals & Mining,Mid Cap
1159,INE0NNS01018,NMDC Steel Limited,Ferrous Metals,Small Cap
1160,INE349A01021,NRB Bearing Ltd.,Auto Components,Small Cap
1161,US6293775085,NRG Energy Inc,Electric Utilities,Unknown
1162,INE0ONG01011,NTPC Green Energy Limited,Power,Mid Cap
1163,INE733E01010,NTPC Limited,Power,Large Cap
1164,JP3735400008,NTT Corp,Integrated Telecommunication Services,Unknown
1165,US62944T1051,NVR Inc,Homebuilding,Unknown
1166,NL0009538784,NXP Semiconductors NV,Semiconductors,Unknown
1167,INE410P01011,Narayana Hrudayalaya Limited,Healthcare Services,Mid Cap
1168,US6311031081,Nasdaq Inc,Financial Exchanges & Data,Unknown
1169,INE987B01026,Natco Pharma Limited,Pharmaceuticals & Biotechnology,Small Cap
1170,US6323071042,Natera Inc,Biotechnology,Unknown
1171,INE139A01034,National Aluminium Company Limited,Non - Ferrous Metals,Mid Cap
1172,INE870D01012,National Fertilizers Ltd.,Fertilizers & Agrochemicals,Small Cap
1173,INE163A01018,National Organic Chemical Ltd.,Chemicals & Petrochemicals,Small Cap
1174,INE301O01023,National Securities Depository Limited,Miscellaneous,Unknown
1175,INE725A01030,Nava Limited,Power,Small Cap
1176,INE048G01026,Navin Fluorine International Limited,Chemicals & Petrochemicals,Small Cap
1177,INE060A01024,Navneet Education Ltd.,Printing & Publication,Small Cap
1178,INE418L01021,Nazara Technologies Limited,Entertainment,Small Cap
1179,INE136S01016,Neogen Chemicals Limited,Chemicals & Petrochemicals,Small Cap
1180,INE317F01035,Nesco Ltd.,Commercial Services & Supplies,Small Cap
1181,INE239A01024,Nestle India Limited,Food Products,Large Cap
1182,KYG6427A1022,Netease Inc,Interactive Home Entertainment,Unknown
1183,US64110L1061,Netflix Inc,Movies & Entertainment,Unknown
1184,INE0NT901020,Netweb Technologies India Limited,IT - Services,Small Cap
1185,INE870H01013,Network18 Media & Investments Limited,Entertainment,Small Cap
1186,INE794A01010,Neuland Laboratories Limited,Pharmaceuticals & Biotechnology,Small Cap
1187,KYG6470A1168,New Oriental Education & Technology Group Inc,Education Services,Unknown
1188,INE619B01017,Newgen Software Technologies Limited,IT - Software,Small Cap
1189,US6516391066,Newmont Corporation,Gold,Unknown
1190,US65249B1098,News Corp,Publishing,Unknown
1191,US65249B2088,News Corp,Publishing,Unknown
1192,US65339F1012,NextEra Energy Inc,Electric Utilities,Unknown
1193,INE0NDH25011,Nexus Select Trust,Realty,Unknown
1194,US65473P1057,NiSource Inc,Multi-Utilities,Unknown
1195,US6541061031,Nike Inc,Footwear,Unknown
1196,INE310A01015,Nilkamal Ltd.,Consumer Durables,Small Cap
1197,KYG6525F1028,Nio Inc,Automobile Manufacturers,Unknown
1198,INE298J01013,Nippon Life India Asset Management Limited,Capital Markets,Mid Cap
1199,JP3753000003,Nippon Yusen Kabushiki Kaisha,Marine Transportation,Unknown
1200,INE910A01012,Nirlon Ltd.,Commercial Services & Supplies,Small Cap
1201,INE229H01012,Nitin Spinners Limited,Textiles & Apparels,Small Cap
1202,JP3756100008,Nitori Holdings Co Ltd,Homefurnishing Retail,Unknown
1203,INE995S01015,Niva Bupa Health Insurance Company Limited,Insurance,Small Cap
1204,CNE100004272,Nongfu Spring Co. Limited,Soft Drinks & Non-alcoholic Beverages,Unknown
1205,US6556631025,Nordson Corporation .,Industrial Machinery,Unknown
1206,US6558441084,Norfolk Southern Corp,Rail Transportation,Unknown
1207,US6658591044,Northern Trust Corp,Asset Management & Custody Banks,Unknown
1208,US6668071029,Northrop Grumman Corp,Aerospace & Defense,Unknown
1209,BMG667211046,Norwegian Cruise Line Holdings Ltd,"Hotels, Resorts & Cruise Lines",Unknown
1210,INE234A01025,Novartis India Limited,Pharmaceuticals & Biotechnology,Small Cap
1211,US6701002056,Novo Nordisk A/S,Pharmaceuticals,Unknown
1212,INE096B01018,Nucleus Software Exports Limited,IT - Software,Small Cap
1213,US6703461052,Nucor Corporation,Steel,Unknown
1214,US67059N1081,Nutanix Inc,Application Software,Unknown
1215,INE531F01015,Nuvama Wealth Management Limited,Capital Markets,Small Cap
1216,INE118D01016,Nuvoco Vistas Corporation Ltd.,Cement & Cement Products,Small Cap
1217,US67066G1040,Nvidia Corp Com,Semiconductors,Unknown
1218,INE0PK601023,OCCL Limited,Chemicals & Petrochemicals,Small Cap
1219,US6821891057,ON Semiconductor Corp,Semiconductors,Unknown
1220,US6826801036,ONEOK Inc,Oil & Gas Storage & Transportation,Unknown
1221,JP3188200004,OTSUKA Corp,IT Consulting & Other Services,Unknown
1222,INE093I01010,Oberoi Realty Limited,Realty,Mid Cap
1223,US6745991058,Occidental Petroleum Corp,Oil & Gas Exploration & Production,Unknown
1224,INE213A01029,Oil & Natural Gas Corporation Limited,Oil,Large Cap
1225,INE274J01014,Oil India Limited,Oil,Mid Cap
1226,US6792951054,Okta Inc,Internet Services & Infrastructure,Unknown
1227,INE0LXG01040,Ola Electric Mobility Ltd,Automobiles,Small Cap
1228,US6795801009,Old Dominion Freight Line Inc,Road & Rail,Unknown
1229,INE260D01016,Olectra Greentech Limited,Automobiles,Small Cap
1230,US6819191064,Omnicom Group Inc,Advertising,Unknown
1231,INE982J01020,One 97 Communications Limited,Financial Technology (Fintech),Mid Cap
1232,INE0HLU01028,One MobiKwik Systems Limited,Financial Technology (Fintech),Small Cap
1233,INE013P01021,Onesource Specialty Pharma Limited,Pharmaceuticals & Biotechnology,Small Cap
1234,INE229A01017,Onward Technologies Ltd,It - Services,Small Cap
1235,INE350C01017,Optiemus Infracom Ltd.,Telecom - Equipment & Accessories,Small Cap
1236,US68389X1054,Oracle Corp,Software,Unknown
1237,INE881D01027,Oracle Financial Services Software Limited,IT - Software,Mid Cap
1238,INE191A01027,Orchid Pharma Ltd.,Pharmaceuticals & Biotechnology,Small Cap
1239,US67103H1077,Oreilly Automotive Inc,Automotive Retail,Unknown
1240,INE876N01018,Orient Cement Ltd.,Cement & Cement Products,Small Cap
1241,INE142Z01019,Orient Electric Limited,Consumer Durables,Small Cap
1242,BMG677491539,Orient Overseas (International) Limited,Marine Transportation,Unknown
1243,INE750A01020,Oriental Hotels Limited,Leisure Services,Small Cap
1244,JP3200450009,Orix Corporation,Diversified Financial Services,Unknown
1245,INE0BYP01024,Oswal Pumps Ltd,Industrial Products,Small Cap
1246,US68902V1070,Otis Worldwide Corp,Industrial Machinery & Supplies & Components,Unknown
1247,INE953R01016,P N Gadgil Jewellers Limited,Consumer Durables,Small Cap
1248,INE111F01016,PAUSHAK LIMITED,Chemicals & Petrochemicals,Small Cap
1249,INE417T01026,PB Fintech Limited,Financial Technology (Fintech),Mid Cap
1250,INE785M01021,PC Jeweller Ltd.,Consumer Durables,Small Cap
1251,INE602A01031,PCBL Chemical Limited,Chemicals & Petrochemicals,Small Cap
1252,INE111Q01021,PDS Limited,Textiles & Apparels,Small Cap
1253,INE940H01022,PEARL GLOBAL INDUSTRIES LIMITED,Textiles & Apparels,Small Cap
1254,INE457L01029,PG Electroplast Limited,Consumer Durables,Small Cap
1255,US69331C1080,PG&E Corporation,Electric Utilities,Unknown
1256,INE603J01030,PI Industries Limited,Fertilizers & Agrochemicals,Mid Cap
1257,INE859A01011,PNB Gilts Limited,Finance,Small Cap
1258,INE572E01012,PNB Housing Finance Limited,Finance,Small Cap
1259,US6934751057,PNC Financial Services Group Inc,Diversified Banks,Unknown
1260,INE195J01029,PNC Infratech Limited,Construction,Small Cap
1261,US6935061076,PPG Industries,Specialty Chemicals,Unknown
1262,US69351T1060,PPL Corp,Electric Utilities,Unknown
1263,INE488V01015,PSP Projects Ltd,Construction,Small Cap
1264,US69370C1009,PTC Inc,Application Software,Unknown
1265,INE877F01012,PTC India Ltd.,Power,Small Cap
1266,INE596F01018,PTC Industries Limited,Industrial Products,Small Cap
1267,INE191H01014,PVR INOX Limited,Entertainment,Small Cap
1268,US6937181088,Paccar Inc,Construction Machinery & Heavy,Unknown
1269,US6951561090,Packaging Corp of America,Paper & Plastic Packaging Products & Materials,Unknown
1270,INE761H01022,Page Industries Limited,Textiles & Apparels,Mid Cap
1271,INE420C01059,Paisalo Digital Ltd.,Finance,Small Cap
1272,INE551D01018,Pakka Ltd.,"Paper, Forest & Jute Products",Small Cap
1273,US69608A1088,Palantir Technologies Inc.,Application Software,Unknown
1274,US6974351057,Palo Alto Networks INC,Software,Unknown
1275,INE305C01029,Panama Petrochem Limited,Petroleum Products,Small Cap
1276,INE088F01024,Paradeep Phosphates Limited,Fertilizers & Agrochemicals,Small Cap
1277,INE883N01014,Parag Milk Foods Limited,Food Products,Small Cap
1278,US92556H2067,Paramount Global Class B,Broadcasting,Unknown
1279,INE045601023,Paras Defence And Space Technologies Ltd.,Aerospace & Defense,Unknown
1280,US7010941042,Parker-Hannifin Corp,Industrial Machinery & Supplies & Components,Unknown
1281,INE619A01035,Patanjali Foods Limited,Agricultural Food & other Products,Mid Cap
1282,INE244B01030,Patel Engineering Ltd.,Construction,Small Cap
1283,US7043261079,Paychex Inc,Data Processing & Outsourced Services,Unknown
1284,US70432V1026,Paycom Software Inc,Human Resource & Employment Services,Unknown
1285,US70450Y1038,Paypal Holdings Inc,Data Processing & Outsourced Services,Unknown
1286,IE00BLS09M33,Pentair PLC,Industrial Machinery & Supplies & Components,Unknown
1287,US7134481081,Pepsico Inc,Soft Drinks,Unknown
1288,INE262H01021,Persistent Systems Limited,IT - Software,Mid Cap
1289,CNE1000003W8,Petrochina Company Ltd,Integrated Oil & Gas,Unknown
1290,US71654V4086,Petroleo Brasileiro Sa - Petro-Adr,Oil & Gas,Unknown
1291,INE347G01014,Petronet LNG Limited,Gas,Mid Cap
1292,US7170811035,Pfizer Inc,Pharmaceuticals,Unknown
1293,INE182A01018,Pfizer Limited,Pharmaceuticals & Biotechnology,Small Cap
1294,US7181721090,Philip Morris International Ord,Tobacco,Unknown
1295,US7185461040,Phillips 66,Oil & Gas Refining & Marketing,Unknown
1296,INE318A01026,Pidilite Industries Limited,Chemicals & Petrochemicals,Large Cap
1297,INE417C01014,Pilani Investment and Industries Corporation Limited,Finance,Small Cap
1298,US7223041028,Pinduoduo Inc - ADR,Internet & Direct Marketing Retail,Unknown
1299,CNE1000003X6,Ping An Insurance Group Co Of China Ltd,Life & Health Insurance,Unknown
1300,US7234841010,Pinnacle West Capital Corp,Electric Utilities,Unknown
1301,INE140A01024,Piramal Enterprises Limited,Finance,Small Cap
1302,INE0DK501011,Piramal Pharma Limited,Pharmaceuticals & Biotechnology,Small Cap
1303,INE450D01021,Pitti Engineering Limited,Industrial Manufacturing,Small Cap
1304,INE751B01018,Pix Transmissions Limited,Industrial Products,Small Cap
1305,TW0003227005,PixArt Imaging Inc,Semiconductors,Unknown
1306,INE637C01025,Pokarna Limited,Consumer Durables,Small Cap
1307,INE205C01021,Poly Medicure Limited,Healthcare Equipment & Supplies,Small Cap
1308,INE455K01017,Polycab India Limited,Industrial Products,Mid Cap
1309,INE633B01018,Polyplex Corporation Ltd.,Industrial Products,Small Cap
1310,US73278L1052,Pool Corp,Distributors,Unknown
1311,INE511C01022,Poonawalla Fincorp Limited,Finance,Small Cap
1312,INE772T01024,Popular Vehicles and Services Limited,Automobiles,Small Cap
1313,HK0006000050,Power Assets Holdings Ltd,Electric Utilities,Unknown
1314,INE134E01011,Power Finance Corporation Limited,Finance,Large Cap
1315,INE752E01010,Power Grid Corporation of India Limited,Power,Large Cap
1316,INE211R01019,Power Mech Projects Ltd.,Construction,Small Cap
1317,INE074A01025,Praj Industries Limited,Industrial Manufacturing,Small Cap
1318,INE603A01013,Prakash Industries Limited,Ferrous Metals,Small Cap
1319,INE393P01035,Prataap Snacks Limited,Food Products,Small Cap
1320,INE484I01029,Precision Camshafts Limited,Auto Components,Small Cap
1321,INE0BS701011,Premier Energies Limited,Electrical Equipment,Mid Cap
1322,INE863B01029,Premier Explosives Ltd.,Chemicals & Petrochemicals,Small Cap
1323,INE811K01011,Prestige Estates Projects Limited,Realty,Mid Cap
1324,INE726V01018,Pricol Ltd,Auto Components,Small Cap
1325,INE367G01038,Prime Focus Limited,Entertainment,Small Cap
1326,INE689W01016,Prince Pipes And Fittings Ltd.,Industrial Products,Small Cap
1327,US74251V1026,Principal Financial Group Inc,Life & Health Insurance,Unknown
1328,INE010A01011,Prism Johnson Ltd.,Cement & Cement Products,Small Cap
1329,INE959A01019,Privi Speciality Chemicals Limited,Chemicals & Petrochemicals,Small Cap
1330,US7427181091,Procter & Gamble Co,Household Products,Unknown
1331,INE199A01012,Procter & Gamble Health Ltd.,Pharmaceuticals & Biotechnology,Small Cap
1332,INE179A01014,Procter & Gamble Hygiene & Healthca,Personal Products,Mid Cap
1333,US7433151039,Progressive Corp,Property & Casualty Insurance,Unknown
1334,US74340W1036,Prologis Inc,Industrial REITs,Unknown
1335,INE004A01022,Protean eGov Technologies Limited,IT - Services,Small Cap
1336,INE00F201020,Prudent Corporate Advisory Services Limited,Capital Markets,Small Cap
1337,US7443201022,Prudential Financial Inc,Life & Health Insurance,Unknown
1338,US7445731067,Public Service Enterprise Group Inc,Multi-Utilities,Unknown
1339,US74460D1090,Public Storage,Self Storage REITs,Unknown
1340,US7458671010,PulteGroup Inc,Homebuilding,Unknown
1341,INE608A01012,Punjab & Sind Bank,Banks,Small Cap
1342,INE160A01022,Punjab National Bank,Banks,Large Cap
1343,US7475251036,Qualcomm Inc.,Semiconductors,Unknown
1344,TW0002382009,Quanta Computer Inc.,"Technology Hardware, Storage & Peripherals",Unknown
1345,US74762E1029,Quanta Services Inc,Construction & Engineering,Unknown
1346,INE615P01015,Quess Corp Ltd.,Commercial Services & Supplies,Small Cap
1347,US74834L1008,Quest Diagnostics Inc,Health Care Services,Unknown
1348,INE306L01010,Quick Heal Technologies Limited,IT - Software,Small Cap
1349,INE0NQ801033,R K Swamy Ltd,Media,Small Cap
1350,INE777K01022,R R Kabel Limited,Industrial Products,Small Cap
1351,INE411H01032,R Systems International Limited,IT - Services,Small Cap
1352,INE976G01028,RBL Bank Limited,Banks,Small Cap
1353,INE020B01018,REC Limited,Finance,Large Cap
1354,INE743M01012,RHI Magnesita India Limited,Industrial Products,Small Cap
1355,INE320J01015,RITES Limited,Construction,Small Cap
1356,INE105J01010,RPG Life Sciences Ltd.,Pharmaceuticals & Biotechnology,Small Cap
1357,INE425Y01011,RPSG Ventures Limited,Commercial Services & Supplies,Small Cap
1358,US75513E1010,RTX Corporation,Aerospace & Defense,Unknown
1359,INE944F01028,Radico Khaitan Limited,Beverages,Mid Cap
1360,INE415G01027,Rail Vikas Nigam Limited,Construction,Mid Cap
1361,INE0DD101019,RailTel Corporation of India Limited,Telecom - Services,Small Cap
1362,INE855B01025,Rain Industries Ltd.,Chemicals & Petrochemicals,Small Cap
1363,INE961O01016,Rainbow Childrens Medicare Limited,Healthcare Services,Small Cap
1364,INE343B01030,Rajesh Exports Ltd.,Consumer Durables,Small Cap
1365,INE451D01029,Rajratan Global Wire Limited,Auto Components,Small Cap
1366,INE613A01020,Rallis India Ltd.,Fertilizers & Agrochemicals,Small Cap
1367,US7512121010,Ralph Lauren Corp,"Apparel, Accessories and Luxury Goods",Unknown
1368,INE230R01035,Rama Steel Tubes Limited,Industrial Products,Small Cap
1369,INE614A01028,Ramco Industries Limited,Other Construction Materials,Small Cap
1370,INE246B01019,Ramco Systems Ltd.,IT - Software,Small Cap
1371,INE399G01023,Ramkrishna Forgings Limited,Auto Components,Small Cap
1372,INE874I01013,Ramky Infrastructure Limited,Construction,Small Cap
1373,INE384A01010,Rane Holdings Limited,Finance,Small Cap
1374,INE0J1F01024,Rashi Peripherals Ltd,It - Hardware,Small Cap
1375,INE027A01015,Rashtriya Chemicals and Fertilizers Limited,Fertilizers & Agrochemicals,Small Cap
1376,INE0CLI01024,Rategain Travel Technologies Limited,IT - Software,Small Cap
1377,INE703B01027,Ratnamani Metals & Tubes Ltd,Industrial Products,Small Cap
1378,INE834M01019,RattanIndia Enterprises Limited,Retailing,Small Cap
1379,INE399K01017,Rattanindia Power Ltd.,Power,Small Cap
1380,US7547301090,Raymond James Financial Inc,Investment Banking & Brokerage,Unknown
1381,INE02ID01020,Raymond Lifestyle Limited,Textiles & Apparels,Small Cap
1382,INE301A01014,Raymond Limited,Realty,Small Cap
1383,INE1SY401010,Raymond Realty Limited,Realty,Unknown
1384,US7561091049,Realty Income Corp,Retail REITs,Unknown
1385,JP3970300004,Recruit Holdings Co Ltd,Human Resource & Employment Services,Unknown
1386,INE891D01026,Redington Limited,Commercial Services & Supplies,Small Cap
1387,INE0LXT01019,Redtape Limited,Consumer Durables,Small Cap
1388,INE056I01025,Refex Industries Ltd.,Chemicals & Petrochemicals,Small Cap
1389,US7588491032,Regency Centers Corp,Retail REITs,Unknown
1390,US75886F1075,Regeneron Pharmaceuticals Inc,Biotechnology,Unknown
1391,US7591EP1005,Regions Financial Corp,Regional Banks,Unknown
1392,INE131B01039,Relaxo Footwears Ltd,Consumer Durables,Small Cap
1393,INE002A01018,Reliance Industries Limited,Petroleum Products,Large Cap
1394,INE036A01016,Reliance Infrastructure Ltd.,Power,Small Cap
1395,INE614G01033,Reliance Power Limited,Power,Small Cap
1396,INE621H01010,Religare Enterprises Ltd.,Finance,Small Cap
1397,GB00B2B0DG97,Relx Plc,Research & Consulting Services,Unknown
1398,GB00BNQMPN80,Renew Energy Global,Power,Unknown
1399,INE612J01015,Repco Home Finance Ltd.,Finance,Small Cap
1400,US7607591002,Republic Services Inc,Environmental & Facilities Services,Unknown
1401,US7611521078,ResMed Inc,Health Care Equipment,Unknown
1402,INE688D01026,Responsive Industries Ltd.,Consumer Durables,Small Cap
1403,INE07T201019,Restaurant Brands Asia Limited,Leisure Services,Small Cap
1404,US7140461093,Revvity Inc,Life Sciences Tools & Services,Unknown
1405,INE0N2P01017,Rishabh instruments Limited,Electrical Equipment,Small Cap
1406,US76954A1034,Rivian Automotive Inc-A,Automobile Manufacturers,Unknown
1407,US7739031091,Rockwell Automation Inc,Electrical Components & Equipment,Unknown
1408,INE645S01016,Rolex Rings Limited,Auto Components,Small Cap
1409,US7757111049,Rollins Inc,Environmental & Facilities Services,Unknown
1410,US7766961061,Roper Technologies Inc,Industrial Conglomerates,Unknown
1411,US7782961038,Ross Stores Inc,Apparel Retail,Unknown
1412,INE02A801020,Rossari Biotech Ltd.,Chemicals & Petrochemicals,Small Cap
1413,INE450U01017,Route Mobile Limited,Telecom - Services,Small Cap
1414,LR0008862868,Royal Caribbean Cruises Ltd,"Hotels, Resorts & Cruise Lines",Unknown
1415,INE895B01021,Rupa & Company Limited,Textiles & Apparels,Small Cap
1416,INE500L01026,S H Kelkar and Company Limited,Chemicals & Petrochemicals,Small Cap
1417,US78409V1044,S&P Global Inc,Financial Exchanges & Data,Unknown
1418,INE284S01014,S.J.S. Enterprises Limited,Auto Components,Small Cap
1419,US8030542042,SAP SE,Application Software,Unknown
1420,US78410G1040,SBA Communications Corp,Telecom Tower REITs,Unknown
1421,INE423Y01016,SBFC Finance Limited,Finance,Small Cap
1422,INE018E01016,SBI Cards and Payment Services Limited,Finance,Mid Cap
1423,INE123W01016,SBI Life Insurance Company Limited,Insurance,Large Cap
1424,INE964H01014,SEPC Limited,Construction,Small Cap
1425,INE618R01015,SG Finserve Limited,Finance,Small Cap
1426,INE385F01024,SG Mart Limited,Miscellaneous,Small Cap
1427,INE285J01028,SIS Ltd.,Other Consumer Services,Small Cap
1428,INE002L01015,SJVN Limited,Power,Mid Cap
